,driverId,raceId,round,circuitId,year,date,races_name,quali_position,grid,results_position,positionText,positionOrder,results_points,results_laps,statusId,status,fastestLap,rank,race_ms,results_fastestlaptime,fastestLapSpeed,dstnd_points,dstnd_position,wins,dob_formatted,nationality
316881,830,944.0,18.0,18.0,2015.0,2015-11-15,Brazilian Grand Prix,10,9.0,9,9,9.0,2,70.0,11.0,+1 Lap,56,9,,01:16.0,204.185,49,12,0.0,1997,Dutch
316972,830,945.0,19.0,24.0,2015.0,2015-11-29,Abu Dhabi Grand Prix,11,11.0,16,16,16.0,0,54.0,11.0,+1 Lap,40,6,,01:45.7,189.079,49,12,0.0,1997,Dutch
317034,830,948.0,1.0,1.0,2016.0,2016-03-20,Australian Grand Prix,5,5.0,10,10,10.0,1,57.0,1.0,Finished,44,6,6572398,01:31.5,208.606,1,10,0.0,1997,Dutch
317122,830,949.0,2.0,3.0,2016.0,2016-04-03,Bahrain Grand Prix,10,10.0,6,6,6.0,8,57.0,1.0,Finished,49,7,5695625,01:35.5,204.004,9,8,0.0,1997,Dutch
317155,830,950.0,3.0,17.0,2016.0,2016-04-17,Chinese Grand Prix,9,9.0,8,8,8.0,4,56.0,1.0,Finished,41,5,6013159,01:40.4,195.456,13,9,0.0,1997,Dutch
317213,830,953.0,6.0,6.0,2016.0,2016-05-29,Monaco Grand Prix,21,0.0,,R,18.0,0,34.0,3.0,Accident,34,18,,01:26.6,138.779,38,6,1.0,1997,Dutch
317252,830,954.0,7.0,7.0,2016.0,2016-06-12,Canadian Grand Prix,5,5.0,4,4,4.0,12,70.0,1.0,Finished,49,4,5518316,01:16.3,205.71,50,6,1.0,1997,Dutch
317341,830,955.0,8.0,73.0,2016.0,2016-06-19,European Grand Prix,9,9.0,8,8,8.0,4,51.0,1.0,Finished,50,3,5643062,01:47.0,202.021,54,6,1.0,1997,Dutch
317368,830,956.0,9.0,70.0,2016.0,2016-07-03,Austrian Grand Prix,9,8.0,2,2,2.0,18,71.0,1.0,Finished,69,5,5263826,01:09.6,223.7,72,6,1.0,1997,Dutch
317451,830,957.0,10.0,9.0,2016.0,2016-07-10,British Grand Prix,3,3.0,2,2,2.0,18,52.0,1.0,Finished,41,6,5704081,01:36.4,219.979,90,6,1.0,1997,Dutch
317512,830,958.0,11.0,11.0,2016.0,2016-07-24,Hungarian Grand Prix,4,4.0,5,5,5.0,10,70.0,1.0,Finished,40,7,6078774,01:24.7,186.234,100,6,1.0,1997,Dutch
317593,830,959.0,12.0,10.0,2016.0,2016-07-31,German Grand Prix,4,4.0,3,3,3.0,15,67.0,1.0,Finished,47,4,5457613,01:18.9,208.673,115,6,1.0,1997,Dutch
317637,830,960.0,13.0,13.0,2016.0,2016-08-28,Belgian Grand Prix,2,2.0,11,11,11.0,0,44.0,1.0,Finished,32,7,6362196,01:53.3,222.582,115,6,1.0,1997,Dutch
317687,830,961.0,14.0,14.0,2016.0,2016-09-04,Italian Grand Prix,7,7.0,7,7,7.0,6,53.0,1.0,Finished,50,8,4702325,01:26.4,241.361,121,6,1.0,1997,Dutch
317743,830,962.0,15.0,15.0,2016.0,2016-09-18,Singapore Grand Prix,4,4.0,6,6,6.0,8,61.0,1.0,Finished,46,5,7020147,01:49.1,167.207,129,6,1.0,1997,Dutch
317813,830,963.0,16.0,2.0,2016.0,2016-10-02,Malaysian Grand Prix,3,3.0,2,2,2.0,18,56.0,1.0,Finished,44,2,5835219,01:37.4,204.925,147,6,1.0,1997,Dutch
317873,830,964.0,17.0,22.0,2016.0,2016-10-09,Japanese Grand Prix,5,3.0,2,2,2.0,18,53.0,1.0,Finished,43,6,5208311,01:36.4,216.89,165,5,1.0,1997,Dutch
317917,830,965.0,18.0,69.0,2016.0,2016-10-23,United States Grand Prix,4,4.0,,R,20.0,0,28.0,6.0,Mechanical,28,5,,01:42.4,193.77,165,6,1.0,1997,Dutch
317931,830,966.0,19.0,32.0,2016.0,2016-10-30,Mexican Grand Prix,3,3.0,4,4,4.0,12,71.0,1.0,Finished,66,6,6052725,01:22.9,186.934,177,6,1.0,1997,Dutch
317990,830,967.0,20.0,18.0,2016.0,2016-11-13,Brazilian Grand Prix,4,4.0,3,3,3.0,15,71.0,1.0,Finished,67,1,10882816,01:25.3,181.846,192,5,1.0,1997,Dutch
318020,20,1063.0,12.0,13.0,2021.0,2021-08-29,Belgian Grand Prix,5,5.0,5,5,5.0,5,1.0,1.0,Finished,,0,214550,,,35,12,0.0,1987,German
318024,20,1064.0,13.0,39.0,2021.0,2021-09-05,Dutch Grand Prix,17,15.0,13,13,13.0,0,70.0,12.0,>+1 Laps,63,5,,01:14.0,207.312,35,12,0.0,1987,German
318074,830,970.0,2.0,17.0,2017.0,2017-04-09,Chinese Grand Prix,19,16.0,3,3,3.0,15,56.0,1.0,Finished,31,7,5901350,01:36.7,202.886,25,3,0.0,1997,Dutch
318136,830,971.0,3.0,3.0,2017.0,2017-04-16,Bahrain Grand Prix,6,6.0,,R,18.0,0,11.0,23.0,Mechanical,4,16,,01:36.7,201.52,25,5,0.0,1997,Dutch
318147,830,972.0,4.0,71.0,2017.0,2017-04-30,Russian Grand Prix,7,7.0,5,5,5.0,10,52.0,1.0,Finished,47,8,5349159,01:38.4,213.888,35,5,0.0,1997,Dutch
