driverId,year,dstnd_points,results_laps,wins,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10,res_11,res_12,res_13,res_14,res_15,res_16,res_17,res_18,res_19,res_20,res_21,res_22,res_23,res_24,grid_1,grid_2,grid_3,grid_4,grid_5,grid_6,grid_7,grid_8,grid_9,grid_10,grid_11,grid_12,grid_13,grid_14,grid_15,grid_16,grid_17,grid_18,grid_19,grid_20,grid_21,grid_22,grid_23,grid_24,races
4,2021.0,81.0,1257.0,0.0,0,0,1,1,0,3,1,4,3,2,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,4,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0
4,2022.0,81.0,1118.0,0.0,0,0,0,0,3,2,4,1,3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,5,1,2,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
5,2007.0,30.0,1023.0,0.0,0,1,0,1,1,1,3,4,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
5,2008.0,53.0,1011.0,1.0,1,1,1,2,4,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1,5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2009.0,22.0,788.0,0.0,0,0,0,1,2,2,1,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5,2010.0,0.0,926.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0
5,2011.0,0.0,948.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,8,0,0,0,0,0,0
5,2012.0,0.0,1153.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,5,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,5,0,0,0,0,0,0
5,2013.0,0.0,126.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2007.0,0.0,70.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2008.0,9.0,1024.0,0.0,0,0,0,0,0,1,2,2,0,0,0,2,1,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,0,1,0,0,0,0,0,0,0,0
6,2009.0,0.0,861.0,0.0,0,0,0,0,0,0,0,0,2,1,1,3,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,1,0,0,1,0,0,0,0,0,0,0
7,2008.0,4.0,887.0,0.0,0,0,0,0,0,0,2,0,0,2,1,2,2,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,0,2,2,0,0,0,0,0,0,0
7,2009.0,2.0,392.0,0.0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
