,driverId,raceId,lap,pit_ms
499,67,848,45,20995
500,20,848,47,20331
501,39,848,44,26059
502,13,848,48,20404
503,18,848,48,20479
504,30,849,9,30242
505,2,849,10,24716
506,18,849,11,25070
507,16,849,11,25737
508,155,849,11,28448
509,813,849,11,26238
510,67,849,11,26279
511,808,849,11,24880
512,22,849,11,25860
513,10,849,11,25416
514,24,849,11,26643
515,816,849,11,28742
516,17,849,12,23973
517,4,849,12,26566
518,1,849,12,25100
519,814,849,12,26612
520,3,849,12,24722
521,815,849,12,25386
522,153,849,12,24719
523,817,849,12,25872
524,20,849,13,24818
525,13,849,13,24159
526,30,849,16,31751
527,155,849,20,31551
528,1,849,24,24065
529,814,849,24,45291
530,813,849,24,24272
531,16,849,25,24077
532,67,849,25,24620
533,17,849,26,25490
534,18,849,26,24287
535,13,849,26,23929
536,814,849,26,31471
537,20,849,27,31558
538,4,849,27,23974
539,816,849,28,25428
540,817,849,28,26942
541,3,849,30,24399
542,2,849,30,24434
543,10,849,30,24959
544,153,849,31,24095
545,30,849,31,24651
546,22,849,31,23955
547,815,849,32,25619
548,24,849,31,25505
549,813,849,35,23869
550,20,849,36,23137
551,1,849,37,23340
552,17,849,38,23785
553,808,849,38,24172
554,4,849,39,23474
555,18,849,39,23292
556,16,849,40,27240
557,13,849,41,23238
558,815,850,8,27247
559,67,850,10,27301
560,812,850,10,31879
561,17,850,14,20440
562,3,850,14,20348
563,30,850,15,20768
564,813,850,15,21601
565,1,850,16,20982
566,4,850,16,20430
567,20,850,16,20394
568,13,850,17,20344
569,155,850,20,20882
570,24,850,20,22048
571,817,850,21,22319
572,16,850,22,20839
573,10,850,22,22252
574,808,850,23,21449
575,153,850,23,21062
576,814,850,23,23676
577,18,850,24,20952
578,816,850,24,20762
579,5,850,26,22088
580,17,850,30,21299
581,812,850,28,22331
582,1,850,31,20496
583,4,850,32,20035
584,813,850,35,21057
585,3,850,36,20975
586,67,850,36,20954
587,30,850,37,20299
588,20,850,40,20274
589,13,850,41,20185
590,815,850,41,21645
591,153,850,43,21689
592,808,850,46,20572
593,16,850,48,20879
594,155,850,48,21267
595,10,850,48,21252
596,1,850,51,20403
597,816,850,49,23588
598,817,850,49,24053
599,5,850,50,21175
600,814,850,51,22535
601,4,850,53,19975
602,3,850,53,20047
603,812,850,51,22458
604,17,850,56,20324
605,30,850,56,19930
606,13,850,59,21903
607,20,850,59,20110
608,17,851,10,20854
609,13,851,10,22293
610,808,851,10,25532
611,22,851,10,22640
612,18,851,11,21786
613,814,851,11,22262
614,813,851,11,23397
615,2,851,11,21371
616,10,851,11,22222
617,816,851,11,25337
618,1,851,12,21880
619,20,851,12,20690
620,4,851,12,22886
621,3,851,12,20767
622,155,851,12,23725
623,67,851,12,22349
624,5,851,12,22772
625,16,851,12,21902
626,815,851,12,22215
627,24,851,12,23633
628,30,851,13,21948
629,153,851,13,23734
630,15,851,13,23118
631,817,851,13,22844
632,813,851,16,13186
633,2,851,23,25434
634,22,851,24,22217
635,153,851,24,22552
636,5,851,24,22147
637,815,851,24,20570
638,17,851,25,20000
639,4,851,25,23208
640,13,851,25,21138
641,808,851,25,24194
642,67,851,25,21460
643,1,851,26,20803
644,30,851,26,20071
645,24,851,25,22501
646,16,851,26,20589
647,18,851,27,21065
648,3,851,27,19939
649,814,851,27,20801
650,20,851,28,20611
651,813,851,28,21426
652,10,851,28,20613
653,817,851,28,23563
654,816,851,29,20916
655,815,851,32,13201
656,155,851,34,22852
657,4,851,36,19936
658,22,851,37,20580
659,17,851,39,20673
660,24,851,37,27839
661,1,851,40,20861
662,13,851,40,22453
663,20,851,41,19664
664,18,851,42,20046
665,814,851,42,20935
666,67,851,43,20360
667,5,851,43,20990
668,815,851,44,20917
669,817,851,43,21651
670,4,851,47,20126
671,153,851,47,21345
672,816,851,47,49849
673,3,851,50,20563
674,17,851,51,21122
675,808,851,50,21353
676,22,851,50,31539
677,5,851,49,22364
678,16,851,50,21796
679,24,851,48,23010
680,813,851,50,23016
681,1,851,52,20855
682,17,851,53,20715
683,22,851,52,25596
684,1,851,54,21628
685,808,851,53,21609
686,5,851,52,21715
687,16,851,53,21503
688,816,851,51,22470
689,3,851,54,23244
690,813,851,53,22825
691,24,851,51,22458
692,10,851,53,20929
693,1,851,56,13173
694,13,851,58,21157
695,155,851,62,21258
696,10,852,1,35092
697,811,852,1,30795
698,5,852,1,28539
699,17,852,3,21015
700,18,852,3,26046
701,30,852,4,20153
702,20,852,5,20898
703,815,852,5,26092
704,10,852,6,13914
705,4,852,8,20994
706,811,852,8,13968
707,13,852,9,22267
708,1,852,10,21895
709,3,852,11,23090
710,24,852,11,21766
711,808,852,12,21395
712,813,852,12,21421
713,20,852,13,21411
714,16,852,13,22773
715,22,852,13,21818
716,30,852,13,20226
717,18,852,13,21756
718,817,852,13,23780
719,15,852,13,22159
720,816,852,13,22939
721,5,852,13,22009
722,155,852,14,24161
723,814,852,14,21334
724,10,852,14,24204
725,811,852,21,20756
726,815,852,22,14089
727,815,852,23,23883
728,24,852,27,30959
729,4,852,29,21243
730,813,852,29,22303
731,155,852,29,21269
732,20,852,30,20786
733,3,852,30,21171
734,13,852,30,21856
735,808,852,30,21979
736,814,852,30,21350
737,17,852,31,20947
738,16,852,31,20983
739,30,852,31,21319
740,22,852,31,21478
741,15,852,31,21484
742,18,852,32,21640
743,13,852,32,21485
744,5,852,33,22306
745,10,852,35,21721
746,816,852,36,22114
747,22,852,40,47753
748,155,853,1,27550
749,22,853,1,29157
750,811,853,2,22534
751,817,853,1,1004718
752,15,853,5,30391
753,814,853,13,21870
754,30,853,16,22709
755,67,853,16,24234
756,18,853,17,21660
757,1,853,18,22083
758,155,853,18,22939
759,4,853,19,22539
760,813,853,19,23063
761,811,853,19,23145
762,20,853,20,22124
763,153,853,20,21988
764,10,853,20,25147
765,13,853,21,21821
766,5,853,21,23298
767,15,853,24,23420
768,814,853,31,23069
769,22,853,32,23414
770,18,853,33,22095
771,817,853,20,30777
772,4,853,34,21989
773,1,853,34,21876
774,20,853,35,21378
775,5,853,35,22611
776,30,853,37,22014
777,813,853,37,22614
778,10,853,38,22784
779,67,853,40,24086
780,811,853,40,22273
781,13,853,41,22148
782,153,853,41,22279
783,817,854,1,44170
784,3,854,9,29549
785,4,854,10,30621
786,30,854,10,29610
787,811,854,10,35398
788,13,854,11,30290
789,1,854,11,30142
790,16,854,11,30718
791,813,854,11,30888
792,67,854,11,32827
793,5,854,11,32202
794,811,854,11,36856
795,17,854,12,30462
796,22,854,12,30456
797,13,854,12,32351
798,1,854,13,33456
799,24,854,13,34329
800,20,854,14,30023
801,18,854,14,30169
802,815,854,15,30810
803,1,854,15,24342
804,155,854,16,30464
805,15,854,16,31048
806,808,854,16,30807
807,817,854,15,34782
808,816,854,16,31763
809,153,854,17,30948
810,814,854,19,30704
811,15,854,19,33317
812,3,854,22,29417
813,30,854,24,29473
814,13,854,24,30478
815,153,854,24,24299
816,4,854,25,30387
817,813,854,25,30187
818,5,854,26,31621
819,24,854,26,32122
820,17,854,29,31204
821,816,854,28,31592
822,814,854,29,29764
823,16,854,29,33418
824,3,854,29,30261
825,815,854,29,33344
826,817,854,27,33058
827,811,854,28,30832
828,1,854,29,30706
829,20,854,30,30809
830,155,854,29,31602
831,18,854,30,29921
832,808,854,29,30625
833,22,854,30,30544
834,67,854,31,31394
835,153,854,35,31836
836,155,854,40,24715
837,13,854,41,30983
838,813,854,45,30477
839,15,854,44,31168
840,17,854,47,30413
841,24,854,45,31687
842,18,854,48,30305
843,1,854,48,29876
844,5,854,47,31207
845,20,854,49,30796
846,808,854,47,30485
847,4,854,49,29972
848,67,854,49,32739
849,24,854,46,42920
850,811,854,48,30987
851,155,854,53,30869
852,1,855,8,21091
853,16,855,8,21511
854,24,855,8,28244
855,20,855,9,22374
856,30,855,9,20667
857,18,855,10,21094
858,4,855,10,21147
859,17,855,10,21820
860,814,855,10,21964
861,155,855,10,24263
862,5,855,10,21412
863,13,855,11,21313
864,67,855,11,21849
865,15,855,11,21636
866,817,855,11,23723
867,22,855,12,22130
868,3,855,12,20575
869,10,855,12,25563
870,816,855,13,23013
871,811,855,15,25927
872,813,855,16,21339
873,153,855,17,21792
874,808,855,18,21304
875,20,855,19,21596
876,17,855,19,21369
877,18,855,20,20713
878,10,855,19,21726
879,815,855,20,21655
880,4,855,21,21319
881,1,855,21,22821
882,13,855,22,21214
883,5,855,22,21519
884,817,855,22,23172
885,16,855,23,21337
886,816,855,23,22258
887,30,855,24,22570
888,814,855,24,21964
889,155,855,24,22299
890,22,855,24,22736
891,3,855,24,20665
892,24,855,23,24716
893,15,855,24,22233
894,813,855,25,21075
895,20,855,33,21705
896,17,855,34,21455
897,1,855,35,21292
898,814,855,35,21553
899,811,855,35,22466
900,18,855,36,20998
901,13,855,36,21100
902,153,855,36,22584
903,24,855,35,22631
904,4,855,37,20731
905,815,855,37,24461
906,16,855,37,21839
907,22,855,37,21890
908,5,855,37,22532
909,10,855,36,22877
910,15,855,38,22156
911,816,855,37,24269
912,808,855,39,20832
913,817,855,38,22910
914,30,855,41,20879
915,3,855,41,20809
916,813,855,41,21012
917,24,856,1,26379
918,155,856,10,21623
919,22,856,10,21722
920,814,856,11,22075
921,15,856,12,22441
922,18,856,13,20766
923,3,856,13,20091
924,811,856,13,21163
925,5,856,13,21951
926,17,856,14,20828
927,13,856,14,23642
928,808,856,14,21478
929,30,856,14,20238
930,67,856,14,22098
931,1,856,15,20846
932,4,856,15,20978
933,20,856,16,19985
934,16,856,16,24820
935,813,856,16,21569
936,815,856,16,21225
937,10,856,16,22533
938,817,856,16,23196
939,816,856,16,26905
940,153,856,17,22301
941,24,856,16,23544
942,813,856,22,13984
943,155,856,24,25578
944,3,856,27,20772
945,813,856,28,22035
946,811,856,30,21893
947,814,856,31,21060
948,22,856,31,22347
949,1,856,33,20584
950,17,856,33,20800
951,20,856,34,20170
952,18,856,34,20758
953,13,856,34,21080
954,16,856,35,21916
955,67,856,36,21992
956,815,856,36,21385
957,15,856,36,22851
958,4,856,37,20639
959,153,856,37,22325
960,5,856,38,22669
961,816,856,38,22412
962,24,856,38,22092
963,10,856,41,22481
964,817,856,41,22115
965,155,856,42,21472
966,815,856,53,21971
967,815,857,1,22676
968,10,857,1,27378
969,22,857,1,33650
970,15,857,1,40734
971,814,857,2,21525
972,808,857,3,27137
973,16,857,15,21424
974,17,857,16,21392
975,4,857,16,21873
976,1,857,16,22530
977,153,857,16,22856
978,13,857,17,21848
979,3,857,17,21149
980,18,857,18,21092
981,30,857,18,20893
982,67,857,18,22579
983,20,857,19,21415
984,814,857,19,24150
985,5,857,21,22226
986,811,857,22,22144
987,39,857,22,24046
988,816,857,22,22687
989,1,857,24,27193
990,817,857,25,25074
991,15,857,27,22894
992,13,857,30,14919
993,13,857,31,27619
994,817,857,32,42529
995,808,857,33,22519
996,815,857,34,24789
997,16,857,35,21977
998,22,857,35,22339
999,17,857,37,21240
1000,4,857,39,21755
1001,814,857,39,20984
1002,5,857,41,22001
1003,3,857,45,22978
1004,1,857,45,22172
1005,18,857,46,21838
1006,153,857,46,23084
1007,20,857,47,21449
1008,30,857,50,21482
1009,39,857,50,23605
1010,811,857,56,21723
1011,816,857,55,22472
1012,15,857,54,24150
1013,817,857,56,28474
1014,811,858,1,20882
1015,815,858,2,24654
1016,155,858,5,19833
1017,13,858,15,20471
1018,153,858,15,43574
1019,1,858,16,19439
1020,4,858,16,20211
1021,18,858,16,20908
1022,16,858,16,20356
1023,30,858,16,19660
1024,5,858,16,21146
1025,17,858,17,25182
1026,3,858,17,19785
1027,15,858,17,20824
1028,808,858,18,20738
1029,22,858,18,24219
1030,817,858,18,21693
1031,811,858,20,20330
1032,24,858,24,21247
1033,813,858,25,20201
1034,10,858,25,21792
1035,814,858,27,20216
1036,815,858,27,19979
1037,813,858,30,12897
1038,155,858,33,23108
1039,22,858,34,20534
1040,17,858,35,20000
1041,153,858,34,21363
1042,18,858,36,20301
1043,16,858,36,20614
1044,811,858,36,12959
1045,808,858,38,19968
1046,1,858,40,19350
1047,5,858,39,20652
1048,13,858,40,20035
1049,30,858,42,20638
1050,817,858,41,23192
1051,4,858,43,21314
1052,15,858,42,20791
1053,10,858,44,20561
1054,3,858,48,19907
1055,17,858,54,19525
1056,30,859,10,25481
1057,811,859,12,21900
1058,808,859,13,21169
1059,16,859,14,21097
1060,18,859,15,22005
1061,4,859,16,20773
