driverId,raceId,constructorId,fastestLap,rank,fastestLapTime,fastestLapSpeed
8,48,6,21,3,123370,250.147
2,48,2,19,4,123681,249.217
9,48,2,22,5,123908,248.543
3,48,3,52,8,124472,246.884
5,48,4,53,7,124226,247.605
18,48,11,32,9,124532,246.708
17,48,9,46,13,124824,245.859
22,48,11,52,12,124767,246.024
15,48,7,49,10,124622,246.446
21,48,4,32,14,124849,245.787
25,48,3,42,16,125000,245.35
19,48,8,46,17,125116,245.016
23,48,7,49,15,124951,245.492
11,48,8,49,11,124669,246.309
24,48,5,45,19,125373,244.278
20,48,5,47,18,125313,244.45
16,48,12,30,20,125377,244.267
29,48,12,34,21,125478,243.978
13,48,6,8,6,123971,248.357
8,49,6,12,2,148095,233.261
13,49,6,34,1,148036,233.388
4,49,1,44,3,148182,233.073
1,49,1,41,4,148215,233.002
2,49,2,33,5,148663,232.042
3,49,3,29,9,149769,229.704
17,49,9,12,11,150049,229.119
5,49,4,21,8,149600,230.058
9,49,2,32,6,148894,231.549
23,49,7,43,10,150022,229.175
15,49,7,43,7,148990,231.345
24,49,5,40,13,150730,227.71
22,49,11,43,12,150678,227.817
16,49,12,29,15,150902,227.357
11,49,8,32,14,150886,227.39
19,49,8,43,19,151391,226.359
29,49,12,30,20,151648,225.838
18,49,11,22,16,151141,226.868
25,49,3,18,18,151270,226.605
14,49,9,24,17,151156,226.837
20,49,5,4,21,152724,223.682
1,50,1,27,1,128193,186.259
5,50,4,34,9,129655,183.222
8,50,6,29,8,129619,183.295
14,50,9,56,11,130086,182.345
21,50,4,33,12,130387,181.738
13,50,6,32,7,129588,183.359
9,50,2,32,4,129021,184.527
16,50,12,54,18,131891,178.763
24,50,5,35,13,130653,181.205
22,50,11,57,15,131060,180.395
18,50,11,58,19,131951,178.647
29,50,12,33,20,132130,178.3
15,50,7,55,21,132414,177.752
2,50,2,28,6,129084,184.396
11,50,8,54,16,131507,179.514
23,50,7,33,14,130865,180.782
19,50,8,27,17,131803,178.935
3,50,3,27,10,129926,182.67
20,50,5,31,5,129057,184.452
17,50,9,30,3,128940,184.695
4,50,1,25,2,128511,185.59
25,50,3,19,22,205636,130.749
8,51,6,52,3,138285,199.66
4,51,1,54,2,137991,200.259
13,51,6,56,1,137454,201.362
20,51,5,52,13,139890,196.452
18,51,11,39,5,138913,198.392
24,51,5,53,11,139654,196.917
2,51,2,55,7,139325,197.569
14,51,9,55,10,139640,196.945
5,51,4,52,8,139331,197.557
17,51,9,55,9,139371,197.478
21,51,4,39,4,138900,198.418
25,51,3,54,12,139743,196.741
15,51,7,55,14,139911,196.41
11,51,8,54,15,140126,195.989
22,51,11,55,16,140516,195.228
3,51,3,54,6,139233,197.752
29,51,12,52,17,140764,194.748
9,51,2,32,18,140926,194.435
1,51,1,22,19,143131,190.278
23,51,7,25,20,144062,188.576
16,51,12,22,21,147603,182.37
19,51,8,9,22,151765,175.579
8,52,6,66,1,112445,214.126
13,52,6,71,3,112584,213.716
4,52,1,59,6,113150,212.062
3,52,3,56,7,113159,212.036
9,52,2,61,4,112686,213.416
2,52,2,53,10,113452,211.19
1,52,1,58,2,112506,213.946
15,52,7,68,8,113361,211.452
14,52,9,22,13,114195,209.076
6,52,3,69,5,113116,212.161
23,52,7,65,9,113368,211.432
11,52,8,39,19,114914,207.069
24,52,5,56,11,113643,210.643
19,52,8,64,14,114329,208.699
16,52,12,13,20,115202,206.276
22,52,11,32,17,114742,207.545
5,52,4,31,18,114891,207.133
20,52,5,18,16,114423,208.435
18,52,11,20,12,114039,209.516
17,52,9,13,15,114398,208.505
29,52,12,2,21,150404,140.505
21,52,4,2,22,202680,126.446
4,53,4,21,3,132534,210.551
30,53,6,38,2,132523,210.576
8,53,1,29,8,132864,209.803
18,53,11,39,5,132729,210.109
31,53,1,21,7,132771,210.013
17,53,3,25,4,132660,210.265
3,53,3,42,1,132408,210.838
32,53,9,40,10,133212,209.02
13,53,6,28,6,132739,210.086
14,53,9,26,11,133376,208.653
24,53,5,26,12,133480,208.421
2,53,2,26,14,133772,207.772
26,53,5,45,9,133108,209.253
23,53,7,25,16,134112,207.021
22,53,11,14,15,133840,207.621
15,53,7,24,18,134852,205.406
33,53,13,41,19,135940,203.076
11,53,8,17,20,137104,200.642
34,53,8,11,21,138302,198.197
35,53,2,20,13,133694,207.945
21,53,4,15,17,134320,206.564
21,54,4,16,2,135294,209.402
4,54,4,45,1,134803,210.487
18,54,11,35,4,135604,208.723
31,54,1,39,3,135566,208.806
13,54,6,51,8,135954,207.962
30,54,6,44,5,135647,208.629
35,54,2,43,9,136002,207.858
23,54,7,34,6,135686,208.544
15,54,7,52,11,136380,207.042
22,54,11,54,10,136188,207.456
24,54,5,40,16,137387,204.902
27,54,13,34,18,138198,203.209
33,54,13,39,19,139510,200.53
11,54,8,14,20,140199,199.151
2,54,2,41,7,135751,208.403
26,54,5,25,14,137313,205.057
34,54,8,18,21,142833,194.05
32,54,9,14,13,136867,206.002
17,54,3,12,12,136771,206.206
14,54,9,4,17,138078,203.458
3,54,3,6,15,137366,204.946
4,55,4,49,2,126189,221.499
8,55,1,57,1,126045,221.869
23,55,7,45,10,127810,217.41
2,55,2,49,7,127700,217.683
21,55,4,53,5,127561,218.028
35,55,2,56,13,128321,216.152
22,55,11,32,6,127690,217.707
14,55,9,32,12,128250,216.326
26,55,5,26,14,128367,216.039
18,55,11,17,8,127799,217.437
27,55,13,53,15,129238,213.931
11,55,8,54,17,130574,210.775
34,55,8,49,18,133737,203.663
31,55,1,45,4,127464,218.27
33,55,13,31,16,129687,212.86
24,55,5,25,11,127988,216.97
30,55,6,27,3,127180,218.981
17,55,3,19,9,127800,217.435
32,55,9,4,19,141351,188.363
30,56,6,19,2,124624,210.961
4,56,4,23,1,124569,211.098
31,56,1,22,4,125096,209.791
13,56,6,12,10,125528,208.731
8,56,1,49,3,125027,209.961
17,56,3,39,9,125488,208.829
18,56,11,29,6,125347,209.174
21,56,4,43,7,125353,209.159
23,56,7,45,5,125316,209.25
22,56,11,12,13,126129,207.275
3,56,3,30,15,126418,206.581
35,56,2,53,8,125438,208.951
2,56,2,53,12,125996,207.595
24,56,5,43,11,125679,208.363
26,56,5,57,14,126248,206.989
33,56,13,53,18,127160,204.823
14,56,9,41,17,126855,205.542
11,56,8,40,20,129100,200.363
32,56,9,30,16,126759,205.77
34,56,8,15,21,131032,196.111
15,56,7,4,19,128039,202.778
30,57,6,39,1,132099,201.226
4,57,4,37,3,132532,200.285
13,57,6,19,5,133099,199.065
8,57,1,43,2,132472,200.415
22,57,11,59,9,133952,197.258
21,57,4,46,4,132964,199.354
3,57,3,48,7,133579,198.044
35,57,2,38,12,134037,197.079
15,57,7,58,10,133953,197.256
2,57,2,47,11,134035,197.084
26,57,5,57,14,134091,196.966
33,57,13,41,18,135504,194.052
27,57,13,35,17,135428,194.207
23,57,7,27,8,133607,197.985
31,57,1,47,6,133571,198.061
11,57,8,26,19,136706,191.64
36,57,8,21,20,137214,190.639
18,57,11,9,13,134042,197.069
