driverId,raceId,lap,milliseconds
17,858,35,20000
153,858,34,21363
18,858,36,20301
16,858,36,20614
811,858,36,12959
808,858,38,19968
1,858,40,19350
5,858,39,20652
13,858,40,20035
30,858,42,20638
817,858,41,23192
4,858,43,21314
15,858,42,20791
10,858,44,20561
3,858,48,19907
17,858,54,19525
30,859,10,25481
811,859,12,21900
808,859,13,21169
16,859,14,21097
18,859,15,22005
4,859,16,20773
1,859,16,21099
3,859,16,20773
22,859,16,21537
20,859,17,20927
814,859,17,20745
813,859,17,21561
5,859,17,22854
17,859,18,20755
811,859,18,14029
67,859,19,22417
815,859,20,22221
816,859,20,21859
817,859,20,23473
13,859,21,21696
155,859,21,25117
153,859,21,22773
24,859,21,22666
10,859,21,22452
15,859,22,22616
811,859,28,23289
808,859,30,23102
18,859,31,21038
16,859,31,20900
5,859,31,22013
1,859,33,20396
30,859,32,20782
22,859,34,22590
4,859,35,20664
17,859,38,20990
20,859,39,20652
814,859,40,21767
3,859,42,20658
67,859,42,22461
816,859,41,23542
817,859,41,22904
15,859,42,21555
155,859,43,21231
1,859,44,20681
815,859,44,21337
13,859,45,21053
16,859,45,21138
808,859,45,21781
24,859,45,22996
153,859,48,21855
811,859,48,22128
5,859,49,21478
18,859,52,21583
30,859,51,21373
4,859,54,20752
22,859,53,21638
17,859,58,20781
20,859,59,22094
811,860,1,24599
817,860,1,32319
13,860,11,22313
3,860,12,23203
4,860,13,22035
155,860,13,25346
814,860,13,24933
17,860,14,23302
5,860,14,24397
18,860,16,23275
20,860,16,24256
813,860,16,23427
1,860,17,22862
808,860,18,24579
8,860,19,24881
818,860,19,23203
10,860,20,26322
819,860,21,25303
817,860,22,23257
815,860,24,23882
13,860,28,22528
811,860,30,23777
3,860,31,23017
814,860,33,24579
4,860,34,21910
5,860,34,24580
18,860,36,22837
1,860,36,23464
155,860,36,24162
819,860,35,48984
20,860,37,24131
17,860,37,22915
813,860,37,23166
8,860,37,23310
818,860,37,23569
10,860,36,25046
13,860,37,22103
5,860,37,28888
817,860,38,24348
811,860,47,30888
819,860,51,17088
815,861,1,25671
811,861,1,31006
814,861,2,23988
13,861,3,24034
10,861,3,25096
819,861,3,29317
18,861,4,24305
4,861,4,24653
807,861,4,23856
817,861,4,25470
808,861,4,24718
5,861,4,32670
1,861,5,24271
17,861,5,24569
20,861,5,25658
3,861,5,25600
813,861,5,25535
8,861,5,27602
155,861,5,28122
30,861,5,24831
811,861,7,26269
18,861,13,25922
3,861,13,25199
8,861,13,24927
155,861,13,26255
37,861,13,15684
808,861,13,29359
10,861,13,25660
811,861,13,24980
1,861,14,27961
4,861,14,22864
17,861,14,26337
13,861,14,24420
814,861,14,22856
813,861,14,21621
30,861,14,24094
817,861,14,24539
5,861,14,25130
815,861,15,24520
20,861,15,24057
818,861,15,24216
807,861,15,23549
819,861,15,36542
39,861,15,36876
18,861,15,36517
813,861,15,23974
37,861,16,38887
5,861,23,34109
18,861,24,23509
817,861,25,22610
3,861,26,23050
13,861,27,23130
817,861,37,23648
39,861,37,27700
13,861,38,26934
5,861,38,23782
17,861,39,23195
814,861,39,22175
811,861,39,23824
30,861,39,22163
813,861,39,23409
3,861,39,23231
18,861,39,23477
808,861,39,30335
10,861,39,25390
4,861,40,22534
819,861,39,32224
20,861,40,22998
8,861,40,25041
818,861,40,23343
807,861,40,23358
155,861,40,23662
37,861,39,28483
815,861,41,24543
1,861,41,26338
20,861,47,25884
4,862,27,20136
8,862,28,21494
818,862,28,23623
5,862,28,22606
811,862,29,21323
808,862,29,22007
807,862,30,21027
5,862,29,37748
20,862,31,21146
154,862,32,25835
37,862,31,23488
814,862,32,21006
813,862,33,21229
817,862,33,22318
39,862,32,23151
3,862,34,20645
17,862,34,20471
815,862,35,22565
10,862,36,21515
819,862,37,23579
1,862,38,20177
4,862,38,20024
155,862,38,21795
18,862,39,26618
13,862,41,20051
818,862,41,22531
819,862,48,13981
17,862,6,20474
155,862,9,21551
20,862,9,21449
807,862,9,32407
8,862,10,21433
1,862,10,20903
808,862,10,21851
18,862,11,20563
154,862,11,21184
814,862,11,20387
813,862,11,21569
818,862,11,22835
30,862,12,21746
4,862,12,20296
811,862,12,21184
5,862,12,22713
3,862,13,21113
815,862,16,23009
39,862,16,24937
817,862,17,21884
37,862,17,23634
13,862,18,20250
10,862,18,21327
819,862,19,22306
17,862,21,20377
1,862,22,20691
18,862,24,20474
155,862,25,21012
5,863,1,25047
817,863,7,25829
18,863,8,23016
13,863,8,23557
3,863,8,22228
1,863,9,28341
17,863,9,22236
4,863,9,22094
815,863,9,23408
811,863,9,23405
30,863,9,21979
807,863,9,22413
37,863,9,24241
154,863,10,23246
818,863,10,22763
808,863,10,23411
10,863,10,23423
39,863,10,25896
20,863,11,22017
8,863,11,22412
813,863,11,22868
819,863,12,24020
5,863,13,23323
814,863,14,22069
155,863,14,22758
807,863,19,22446
815,863,21,23428
39,863,21,25204
18,863,22,22270
3,863,22,22903
13,863,22,21963
37,863,22,23420
17,863,23,22649
1,863,23,30622
4,863,23,23449
813,863,23,22330
30,863,23,22105
808,863,23,23421
817,863,23,22295
10,863,23,29648
8,863,24,22362
811,863,24,22310
20,863,25,22717
154,863,25,22896
818,863,25,23353
5,863,25,23639
155,863,31,25590
814,863,33,22483
39,863,32,26417
3,863,36,21888
1,863,36,23696
807,863,36,22560
18,863,37,22616
4,863,37,23207
815,863,37,22924
30,863,37,22192
13,863,38,21938
811,863,38,22796
817,863,38,22495
5,863,38,23173
20,863,39,21800
8,863,39,22597
17,863,39,21705
10,863,38,22933
808,863,39,23167
37,863,38,24520
154,863,40,22763
818,863,40,22241
39,863,45,24317
155,863,50,24674
18,863,53,23943
815,864,1,21864
17,864,6,20119
20,864,7,19745
155,864,8,22260
3,864,9,20502
18,864,9,20333
814,864,9,19987
4,864,10,19456
154,864,10,20223
30,864,10,20113
818,864,10,20388
13,864,10,20130
807,864,10,20521
808,864,10,24856
37,864,10,22275
813,864,11,20620
8,864,11,19777
817,864,11,21101
39,864,11,21518
5,864,13,21290
1,864,14,21963
10,864,14,21082
819,864,15,20936
17,864,17,24864
815,864,17,21055
807,864,19,20558
37,864,19,22135
3,864,22,20059
39,864,22,22515
814,864,23,21680
818,864,23,22645
813,864,24,20218
18,864,25,21061
817,864,25,20114
4,864,26,20028
154,864,26,21215
155,864,26,20381
10,864,26,20902
8,864,27,21301
20,864,27,19624
5,864,27,22566
819,864,27,21338
13,864,28,13259
808,864,28,23072
13,864,29,19699
20,864,30,13335
1,864,35,19980
37,864,35,21543
815,864,37,28531
18,864,38,19888
807,864,39,20515
817,864,39,20059
3,864,40,20197
17,864,40,20129
818,864,40,20460
813,864,41,22829
155,864,41,21311
20,864,42,26143
814,864,42,19867
4,864,44,20105
5,864,43,21275
808,864,44,21817
13,864,45,22645
8,864,48,20073
10,864,47,20669
154,864,51,21035
37,864,51,21471
155,865,1,28390
808,865,3,39391
818,865,17,26063
3,865,27,24874
17,865,29,25566
1,865,29,25748
8,865,29,26380
807,865,29,26447
811,865,29,26410
39,865,29,27306
4,865,30,25220
5,865,30,26066
10,865,30,25567
13,865,31,24993
819,865,33,27186
30,865,34,25117
815,865,34,25666
814,865,35,25642
18,865,38,25219
815,865,39,19677
817,865,40,25335
20,865,46,25079
10,865,54,36503
818,865,70,26157
5,865,73,31293
39,865,74,26973
13,866,12,21128
814,866,13,21489
30,866,13,21807
18,866,15,21748
20,866,16,21639
818,866,16,22278
1,866,17,21375
17,866,17,21199
817,866,17,21689
5,866,17,21733
808,866,18,21888
4,866,19,21133
3,866,19,21222
154,866,21,21830
807,866,21,24583
811,866,23,22781
155,866,24,21453
10,866,24,25520
819,866,28,23291
813,866,29,22704
18,866,33,21845
3,866,38,21179
8,866,40,21534
815,866,41,21407
807,866,42,23660
5,866,42,21704
30,866,43,22524
818,866,43,23163
808,866,43,21403
814,866,44,21734
818,866,47,14641
1,866,50,22530
17,866,52,21254
18,866,52,21363
13,866,58,21115
817,866,58,21558
20,866,63,22428
18,867,10,20246
815,867,10,21032
13,867,11,20498
819,867,11,31636
5,867,12,21040
1,867,13,19355
808,867,13,20726
155,867,14,23071
8,867,14,21879
813,867,14,21342
807,867,14,21198
817,867,14,21209
37,867,14,23127
4,867,15,19789
39,867,15,22930
20,867,16,20357
154,867,16,20479
818,867,17,21303
30,867,19,20477
17,867,19,20246
3,867,20,20625
155,867,20,25719
811,867,20,28440
814,867,23,20295
811,867,24,14659
815,867,25,20904
808,867,25,21224
18,867,26,19640
13,867,27,20126
5,867,27,24445
154,867,28,23183
1,867,28,31081
4,867,28,20718
8,867,28,21103
813,867,28,21525
807,867,28,20332
808,867,28,21407
20,867,29,20023
37,867,28,23125
819,867,28,22838
39,867,29,26370
13,867,34,39041
817,867,37,22597
17,867,38,20222
39,867,39,14780
30,867,41,20041
3,867,46,20115
808,867,47,30800
13,867,53,20476
819,868,32,26164
17,868,33,25179
813,868,12,33068
13,868,13,25325
8,868,13,25581
819,868,13,26313
17,868,14,25854
811,868,14,25983
818,868,14,26489
4,868,15,25372
3,868,15,25189
