"driverId","raceId","grid","results_position","positionText","positionOrder","results_points","results_laps","fastestLap","rank","race_ms","results_fastestlaptime","fastestLapSpeed","statusId","status"
4,25,3,"8","8",8,"1",70,"39","8","5553617","01:17.6","204.525",1,"Finished"
14,25,7,"9","9",9,"0",70,"23","12","5561266","01:17.8","204.06",1,"Finished"
1,25,13,"10","10",10,"0",70,"40","5","5564783","01:17.5","205.022",1,"Finished"
10,25,8,"11","11",11,"0",70,"45","13","5567945","01:17.8","204.013",1,"Finished"
20,25,12,"12","12",12,"0",70,"36","11","5568310","01:17.8","204.212",1,"Finished"
2,25,11,"13","13",13,"0",70,"46","9","5572324","01:17.7","204.328",1,"Finished"
71,193,9,"8","8",8,"0",71,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
484,752,18,"13","13",13,"0",72,NULL,NULL,NULL,NULL,NULL,15,">+1 Laps"
418,752,14,"14","14",14,"0",71,NULL,NULL,NULL,NULL,NULL,16,">+1 Laps"
500,752,25,"15","15",15,"0",70,NULL,NULL,NULL,NULL,NULL,17,">+1 Laps"
35,208,1,"1","1",1,"10",72,NULL,NULL,"5766990",NULL,NULL,1,"Finished"
77,208,3,"2","2",2,"6",72,NULL,NULL,"5771180",NULL,NULL,1,"Finished"
44,208,5,"3","3",3,"4",72,NULL,NULL,"5782860",NULL,NULL,1,"Finished"
1,26,4,"1","1",1,"10",60,"16","3","5949440","01:32.8","199.398",1,"Finished"
2,26,5,"2","2",2,"8",60,"21","2","6018017","01:32.7","199.609",1,"Finished"
22,26,16,"3","3",3,"6",60,"21","11","6031713","01:33.4","198.183",1,"Finished"
57,208,4,"4","4",4,"3",72,NULL,NULL,"5800023",NULL,NULL,1,"Finished"
30,208,2,"5","5",5,"2",72,NULL,NULL,"5800721",NULL,NULL,1,"Finished"
55,208,6,"6","6",6,"1",72,NULL,NULL,"5801010",NULL,NULL,1,"Finished"
65,208,13,"7","7",7,"0",72,NULL,NULL,"5817902",NULL,NULL,1,"Finished"
21,208,7,"8","8",8,"0",72,NULL,NULL,"5827629",NULL,NULL,1,"Finished"
49,208,8,"9","9",9,"0",72,NULL,NULL,"5842392",NULL,NULL,1,"Finished"
21,212,8,"9","9",9,"0",64,NULL,NULL,"5500663",NULL,NULL,1,"Finished"
85,226,22,"10","10",10,"0",69,NULL,NULL,NULL,NULL,NULL,13,">+1 Laps"
64,227,17,"10","10",10,"0",66,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
49,230,11,"4","4",4,"3",64,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
57,230,10,"5","5",5,"2",64,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
64,230,17,"6","6",6,"1",63,NULL,NULL,NULL,NULL,NULL,12,">+1 Laps"
77,212,6,"10","10",10,"0",64,NULL,NULL,"5501566",NULL,NULL,1,"Finished"
30,213,1,"1","1",1,"10",54,NULL,NULL,"4660646",NULL,NULL,1,"Finished"
55,213,8,"2","2",2,"6",54,NULL,NULL,"4663211",NULL,NULL,1,"Finished"
21,213,6,"3","3",3,"4",54,NULL,NULL,"4663865",NULL,NULL,1,"Finished"
49,213,4,"4","4",4,"3",54,NULL,NULL,"4664414",NULL,NULL,1,"Finished"
65,213,13,"5","5",5,"2",54,NULL,NULL,"4665362",NULL,NULL,1,"Finished"
1,27,1,"1","1",1,"10",67,"17","2","5480874","01:16.0","216.552",1,"Finished"
12,27,17,"2","2",2,"8",67,"66","9","5486460","01:16.9","214.099",1,"Finished"
13,27,2,"3","3",3,"6",67,"19","5","5490213","01:16.5","215.241",1,"Finished"
2,27,12,"4","4",4,"5",67,"52","1","5490699","01:16.0","216.7",1,"Finished"
5,27,3,"5","5",5,"4",67,"63","4","5493285","01:16.5","215.261",1,"Finished"
8,27,6,"6","6",6,"3",67,"66","3","5495277","01:16.3","215.692",1,"Finished"
9,27,7,"7","7",7,"2",67,"17","6","5503556","01:16.6","214.937",1,"Finished"
20,27,9,"8","8",8,"1",67,"20","8","5514173","01:16.8","214.484",1,"Finished"
15,27,4,"9","9",9,"0",67,"17","12","5518032","01:17.0","213.785",1,"Finished"
3,27,13,"10","10",10,"0",67,"34","15","5518499","01:17.4","212.799",1,"Finished"
4,27,5,"11","11",11,"0",67,"17","13","5519474","01:17.1","213.53",1,"Finished"
7,27,15,"12","12",12,"0",67,"63","10","5519985","01:17.0","213.935",1,"Finished"
14,27,10,"13","13",13,"0",67,"18","11","5535845","01:17.0","213.866",1,"Finished"
6,27,16,"14","14",14,"0",67,"23","17","5540877","01:17.7","211.947",1,"Finished"
16,27,19,"15","15",15,"0",67,"66","18","5550362","01:17.9","211.408",1,"Finished"
21,27,20,"16","16",16,"0",67,"67","20","5564967","01:18.2","210.546",1,"Finished"
75,213,19,"6","6",6,"1",54,NULL,NULL,"4697347",NULL,NULL,1,"Finished"
14,213,5,"7","7",7,"0",54,NULL,NULL,"4698399",NULL,NULL,1,"Finished"
30,214,1,"1","1",1,"10",72,NULL,NULL,"5930492",NULL,NULL,1,"Finished"
21,218,4,"2","2",2,"6",44,NULL,NULL,"5653470",NULL,NULL,1,"Finished"
5,28,2,"1","1",1,"10",70,"19","7","5847067","01:21.8","192.917",1,"Finished"
10,28,5,"2","2",2,"8",70,"42","6","5858128","01:21.7","193.111",1,"Finished"
8,28,6,"3","3",3,"6",70,"61","1","5863923","01:21.2","194.243",1,"Finished"
4,28,7,"4","4",4,"5",70,"47","8","5868681","01:21.8","192.823",1,"Finished"
1,28,1,"5","5",5,"4",70,"15","3","5870115","01:21.5","193.533",1,"Finished"
12,28,10,"6","6",6,"3",70,"64","4","5879365","01:21.5","193.428",1,"Finished"
15,28,9,"7","7",7,"2",70,"65","5","5883516","01:21.6","193.189",1,"Finished"
9,28,4,"8","8",8,"1",70,"70","9","5895388","01:21.9","192.475",1,"Finished"
17,28,8,"9","9",9,"0",70,"67","10","5905901","01:22.1","192.043",1,"Finished"
2,28,15,"10","10",10,"0",70,"67","11","5914776","01:22.2","191.908",1,"Finished"
14,28,13,"11","11",11,"0",70,"67","16","5917474","01:22.7","190.634",1,"Finished"
49,218,7,"3","3",3,"4",44,NULL,NULL,"5658864",NULL,NULL,1,"Finished"
65,218,11,"4","4",4,"3",44,NULL,NULL,"5665742",NULL,NULL,1,"Finished"
35,218,1,"5","5",5,"2",44,NULL,NULL,"5668820",NULL,NULL,1,"Finished"
77,218,15,"6","6",6,"1",44,NULL,NULL,"5690458",NULL,NULL,1,"Finished"
64,218,8,"7","7",7,"0",44,NULL,NULL,"5712648",NULL,NULL,1,"Finished"
55,218,2,"8","8",8,"0",44,NULL,NULL,"5728725",NULL,NULL,1,"Finished"
81,218,13,"9","9",9,"0",44,NULL,NULL,"5729299",NULL,NULL,1,"Finished"
57,224,5,"5","5",5,"2",58,NULL,NULL,"5665471",NULL,NULL,1,"Finished"
71,225,1,"1","1",1,"10",71,NULL,NULL,"6592976",NULL,NULL,1,"Finished"
13,29,1,"1","1",1,"10",57,"36","1","5732339","01:38.7","197.637",1,"Finished"
1,29,2,"2","2",2,"8",57,"16","2","5737950","01:38.9","197.285",1,"Finished"
9,29,3,"3","3",3,"6",57,"38","4","5769692","01:39.3","196.399",1,"Finished"
5,29,5,"4","4",4,"5",57,"19","3","5772042","01:39.1","196.831",1,"Finished"
15,29,7,"5","5",5,"4",57,"37","12","5783023","01:39.7","195.755",1,"Finished"
20,29,6,"6","6",6,"3",57,"36","6","5784964","01:39.5","196.093",1,"Finished"
10,29,13,"7","7",7,"2",57,"54","8","5800329","01:39.5","195.995",1,"Finished"
3,29,9,"8","8",8,"1",57,"35","10","5803796","01:39.6","195.912",1,"Finished"
2,29,8,"9","9",9,"0",57,"57","7","5814516","01:39.5","196.013",1,"Finished"
7,29,10,"10","10",10,"0",57,"35","11","5822133","01:39.6","195.79",1,"Finished"
12,29,15,"11","11",11,"0",57,"29","9","5825056","01:39.5","195.977",1,"Finished"
55,225,5,"2","2",2,"6",71,NULL,NULL,"6610958",NULL,NULL,1,"Finished"
71,226,1,"1","1",1,"10",72,NULL,NULL,"6895322",NULL,NULL,1,"Finished"
35,226,3,"2","2",2,"6",72,NULL,NULL,"6907489",NULL,NULL,1,"Finished"
55,226,4,"3","3",3,"4",72,NULL,NULL,"6910076",NULL,NULL,1,"Finished"
71,232,2,"1","1",1,"10",72,NULL,NULL,"5789200",NULL,NULL,1,"Finished"
