driverId,raceId,position,q1,q2,q3
2,44,9,01:20.5,01:20.2,01:20.9
15,44,10,01:21.2,01:20.1,01:21.2
17,44,11,01:20.6,01:20.2,\N
14,44,12,01:21.2,01:20.3,\N
25,44,13,01:20.8,01:20.4,\N
22,44,14,01:21.2,01:20.4,\N
26,44,15,01:20.8,01:20.5,\N
24,44,16,01:21.2,01:20.8,\N
3,44,17,01:21.2,\N,\N
18,44,18,01:21.3,\N,\N
19,44,19,01:21.4,\N,\N
16,44,20,01:22.0,\N,\N
11,44,21,01:22.0,\N,\N
27,44,22,01:22.6,\N,\N
8,45,1,01:31.5,01:31.2,01:31.5
4,45,2,01:31.1,01:31.0,01:31.7
13,45,3,01:31.4,01:30.9,01:31.8
2,45,4,01:31.9,01:31.7,01:31.8
9,45,5,01:32.0,01:31.4,01:32.1
17,45,6,01:32.6,01:31.7,01:32.5
5,45,7,01:32.6,01:31.8,01:32.5
15,45,8,01:32.4,01:31.9,01:32.5
23,45,9,01:32.4,01:31.8,01:32.6
1,45,10,01:31.6,01:31.2,01:33.8
3,45,11,01:32.1,01:32.0,\N
25,45,12,01:32.2,01:32.0,\N
21,45,13,01:32.4,01:32.0,\N
22,45,14,01:32.7,01:32.2,\N
19,45,15,01:32.8,01:32.5,\N
11,45,16,01:32.7,01:32.8,\N
18,45,17,01:33.0,\N,\N
26,45,18,01:33.0,\N,\N
24,45,19,01:33.1,\N,\N
14,45,20,01:33.2,\N,\N
16,45,21,01:34.5,\N,\N
28,45,22,01:35.9,\N,\N
4,46,1,01:20.4,01:19.7,01:19.7
1,46,2,01:19.6,01:19.3,01:19.8
2,46,3,01:20.8,01:20.3,01:20.3
8,46,4,01:20.4,01:20.1,01:20.4
3,46,5,01:20.5,01:20.2,01:20.6
23,46,6,01:20.4,01:20.5,01:20.7
9,46,7,01:20.4,01:20.7,01:20.9
21,46,8,01:21.6,01:20.6,01:21.1
15,46,9,01:20.5,01:20.0,01:21.2
17,46,10,01:20.8,01:20.4,01:21.3
14,46,11,01:21.3,01:20.7,\N
5,46,12,01:20.3,01:20.8,\N
25,46,13,01:21.2,01:20.9,\N
13,46,14,01:20.4,01:21.0,\N
19,46,15,01:21.0,01:21.1,\N
24,46,16,01:21.7,01:22.0,\N
18,46,17,01:21.7,\N,\N
22,46,18,01:21.9,\N,\N
11,46,19,01:22.1,\N,\N
20,46,20,01:22.2,\N,\N
16,46,21,01:22.7,\N,\N
29,46,22,01:23.8,\N,\N
13,47,1,01:27.5,01:27.0,01:27.3
1,47,2,01:27.5,01:26.9,01:27.4
8,47,3,01:27.3,01:26.9,01:27.5
4,47,4,01:27.3,01:26.8,01:27.6
9,47,5,01:28.0,01:27.3,01:27.7
2,47,6,01:28.1,01:27.3,01:28.0
5,47,7,01:28.1,01:27.0,01:28.5
3,47,8,01:28.3,01:27.7,01:28.5
15,47,9,01:28.3,01:27.8,01:28.7
21,47,10,01:28.3,01:27.9,01:29.3
19,47,11,01:28.3,01:28.0,\N
17,47,12,01:28.5,01:28.0,\N
14,47,13,01:28.4,01:28.1,\N
25,47,14,01:28.4,01:28.4,\N
24,47,15,01:28.8,\N,\N
23,47,16,01:28.8,\N,\N
11,47,17,01:29.0,\N,\N
20,47,18,01:29.4,\N,\N
16,47,19,01:29.9,\N,\N
29,47,20,01:31.5,\N,\N
18,47,21,01:28.4,01:28.2,\N
22,47,22,01:28.8,01:28.2,\N
4,48,1,01:21.7,01:21.4,01:22.0
1,48,2,01:22.0,01:21.7,01:22.0
13,48,3,01:22.3,01:22.0,01:22.5
2,48,4,01:23.1,01:22.5,01:23.2
8,48,5,01:22.7,01:22.4,01:23.2
9,48,6,01:23.1,01:22.4,01:23.4
5,48,7,01:23.5,01:23.1,01:24.1
3,48,8,01:23.3,01:22.7,01:24.4
15,48,9,01:23.7,01:23.1,01:24.6
18,48,10,01:23.6,01:23.0,01:25.2
17,48,11,01:23.6,01:23.2,\N
22,48,12,01:23.5,01:23.2,\N
25,48,13,01:23.7,01:23.2,\N
